subj_nr	sent_nr	word_pos	item	RTfirstpass	prevfix	reject_data	word	log_freq	nr_char	reject_word
38	235	10	23510	0	false	true	in	-14.0752	2	false
38	235	11	23511	200	false	false	for	-13.7057	3	false
38	235	12	23512	0	true	true	a	-14.4505	1	false
38	235	13	23513	156	false	false	cup	-8.3722	3	false
38	235	14	23514	272	true	false	of	-14.3992	2	false
38	235	15	23515	0	true	true	tea.		4	true
38	239	1	23901	0	false	true	I	-14.2268	1	true
38	239	2	23902	240	false	false	know	-11.9073	4	false
38	239	3	23903	280	true	false	Richard	-7.8272	7	false
38	239	4	23904	216	true	false	drinks	-7.9327	6	false
38	239	5	23905	0	true	true	a	-14.4505	1	false
38	239	6	23906	304	false	false	little	-10.8566	6	false
38	239	7	23907	364	true	false	too	-11.3848	3	false
38	239	8	23908	0	true	true	much	-11.6691	4	false
38	239	9	23909	232	false	false	and	-14.4566	3	false
38	239	10	23910	256	true	false	has	-12.4745	3	false
38	239	11	23911	0	true	true	a	-14.4505	1	false
38	239	12	23912	0	false	true	bit	-10.5956	3	false
38	239	13	23913	88	false	false	of	-14.3992	2	false
38	239	14	23914	1212	true	false	a	-14.4505	1	false
38	239	15	23915	408	true	false	temper.		7	true
38	241	1	24101	268	true	false	If	-12.2502	2	true
38	241	2	24102	212	true	false	this	-13.429	4	false
38	241	3	24103	300	true	false	were	-12.1124	4	false
38	241	4	24104	0	true	true	a	-14.4505	1	false
38	241	5	24105	240	false	false	movie	-8.8426	5	false
38	241	6	24106	216	true	false	instead	-9.5137	7	false
38	241	7	24107	0	true	true	of	-14.3992	2	false
38	241	8	24108	0	false	true	a	-14.4505	1	false
38	241	9	24109	232	false	false	book	-10.422	4	false
38	241	10	24110	0	true	true	this	-13.429	4	false
38	241	11	24111	232	false	false	would	-12.5042	5	false
38	241	12	24112	160	true	false	be	-13.4218	2	false
38	241	13	24113	0	true	true	a	-14.4505	1	false
38	241	14	24114	204	false	false	good	-12.0964	4	false
38	241	15	24115	160	true	false	bit.		4	true
38	246	1	24601	252	true	false	James	-8.3941	5	true
38	246	2	24602	216	true	false	was	-13.1952	3	false
38	246	3	24603	192	true	false	only	-11.8014	4	false
38	246	4	24604	0	true	true	in	-14.0752	2	false
38	246	5	24605	0	false	true	the	-15.2505	3	false
38	246	6	24606	476	false	false	cell	-7.9529999999999985	4	false
38	246	7	24607	0	true	true	for	-13.7057	3	false
38	246	8	24608	240	false	false	an	-12.4722	2	false
38	246	9	24609	144	true	false	hour	-9.3928	4	false
38	246	10	24610	0	true	true	but	-12.7025	3	false
38	246	11	24611	244	false	false	it	-14.0514	2	false
38	246	12	24612	0	true	true	felt	-9.6992	4	false
38	246	13	24613	156	false	false	like	-12.0194	4	false
38	246	14	24614	164	true	false	a	-14.4505	1	false
38	246	15	24615	164	true	false	week.		5	true
39	1	1	101	0	true	true	Anne	-6.8522	4	true
39	1	2	102	204	false	false	lost	-9.742	4	false
39	1	3	103	0	true	true	control	-9.9403	7	false
39	1	4	104	192	false	false	and	-14.4566	3	false
39	1	5	105	0	true	true	laughed.		8	true
39	2	1	201	0	false	true	Billy	-6.5723	5	true
39	2	2	202	0	false	true	wrote	-8.9048	5	false
39	2	3	203	0	false	true	on	-13.3552	2	false
39	2	4	204	0	false	true	the	-15.2505	3	false
39	2	5	205	108	false	false	envelope.		9	true
39	3	1	301	0	true	true	He	-12.7513	2	true
39	3	2	302	0	false	true	called	-9.7281	6	false
39	3	3	303	220	false	false	over	-11.4436	4	false
39	3	4	304	0	true	true	his	-11.844	3	false
39	3	5	305	160	false	false	shoulder.		9	true
39	4	1	401	16	true	true	He	-12.7513	2	true
39	4	2	402	168	true	false	stayed	-8.8625	6	false
39	4	3	403	156	true	false	against	-10.0753	7	false
39	4	4	404	176	true	false	the	-15.2505	3	false
39	4	5	405	120	true	false	wall.		5	true
39	5	1	501	0	true	true	Helen	-6.8068	5	true
39	5	2	502	0	false	true	ran	-8.363999999999999	3	false
39	5	3	503	0	false	true	to	-14.774	2	false
39	5	4	504	144	false	false	the	-15.2505	3	false
39	5	5	505	0	true	true	toilet.		7	true
39	6	1	601	0	false	true	I	-14.2268	1	true
39	6	2	602	0	false	true	cannot	-10.1549	6	false
39	6	3	603	0	false	true	tell	-10.4293	4	false
39	6	4	604	0	false	true	you	-13.8667	3	false
39	6	5	605	0	false	true	more.		5	true
39	7	1	701	0	false	true	Michael	-8.1565	7	true
39	7	2	702	0	false	true	gave	-9.4624	4	false
39	7	3	703	0	false	true	Adam	-7.4194	4	false
39	7	4	704	0	false	true	two	-11.3457	3	false
39	7	5	705	216	false	false	pounds.		7	true
39	8	1	801	0	true	true	Roger	-6.8178	5	true
39	8	2	802	0	false	true	smiled	-7.0975	6	false
39	8	3	803	0	false	true	and	-14.4566	3	false
39	8	4	804	0	false	true	sat	-8.3236	3	false
39	8	5	805	164	false	false	down.		5	true
39	9	1	901	0	true	true	Things	-11.2235	6	true
39	9	2	902	0	false	true	were	-12.1124	4	false
39	9	3	903	228	false	false	looking	-10.7198	7	false
39	9	4	904	128	true	false	up	-12.1638	2	false
39	9	5	905	168	true	false	again.		6	true
39	10	1	1001	32	true	true	This	-13.429	4	true
39	10	2	1002	128	true	false	man's		5	true
39	10	3	1003	0	true	true	hair	-8.4949	4	false
39	10	4	1004	192	false	false	is	-14.0556	2	false
39	10	5	1005	916	true	false	black.		6	true
39	11	1	1101	0	true	true	Turn	-9.846	4	true
39	11	2	1102	0	false	true	your	-12.7412	4	false
39	11	3	1103	40	false	true	hearing	-8.6905	7	false
39	11	4	1104	172	true	false	aid	-8.6052	3	false
39	11	5	1105	0	true	true	up.		3	true
39	12	1	1201	0	false	true	You'll		6	true
39	12	2	1202	184	false	false	demand	-8.9119	6	false
39	12	3	1203	196	true	false	nothing	-10.4995	7	false
39	12	4	1204	0	true	true	of	-14.3992	2	false
39	12	5	1205	0	false	true	me.		3	true
39	13	1	1301	0	false	true	A	-14.4505	1	true
39	13	2	1302	0	false	true	horse	-8.0993	5	false
39	13	3	1303	0	false	true	has	-12.4745	3	false
39	13	4	1304	0	false	true	thrown	-7.5756	6	false
39	13	5	1305	228	false	false	a	-14.4505	1	false
39	13	6	1306	0	true	true	shoe.		5	true
39	14	1	1401	0	false	true	A	-14.4505	1	true
39	14	2	1402	0	false	true	tube	-7.4588	4	false
39	14	3	1403	0	false	true	train	-8.9373	5	false
39	14	4	1404	0	false	true	took	-10.1113	4	false
39	14	5	1405	224	false	false	his	-11.844	3	false
39	14	6	1406	180	true	false	legs.		5	true
39	15	1	1501	0	true	true	Five	-9.7688	4	true
39	15	2	1502	0	false	true	will	-12.9165	4	false
39	15	3	1503	0	false	true	be	-13.4218	2	false
39	15	4	1504	308	false	false	listening	-8.4956	9	false
39	15	5	1505	172	true	false	for	-13.7057	3	false
39	15	6	1506	0	true	true	sure.		5	true
39	16	1	1601	0	false	true	Gordon	-7.5126	6	true
39	16	2	1602	0	false	true	felt	-9.6992	4	false
39	16	3	1603	0	false	true	his	-11.844	3	false
39	16	4	1604	312	false	false	anger	-7.457000000000002	5	false
39	16	5	1605	192	true	false	build	-9.551	5	false
39	16	6	1606	0	true	true	up.		3	true
39	17	1	1701	232	false	false	Harry	-9.2567	5	true
39	17	2	1702	0	true	true	smiled	-7.0975	6	false
39	17	3	1703	224	false	false	at	-12.8145	2	false
39	17	4	1704	0	true	true	his	-11.844	3	false
39	17	5	1705	0	false	true	little	-10.8566	6	false
39	17	6	1706	192	false	false	brother.		8	true
39	18	1	1801	0	true	true	He	-12.7513	2	true
39	18	2	1802	0	false	true	needed	-9.9694	6	false
39	18	3	1803	72	false	false	putting	-9.0478	7	false
39	18	4	1804	156	true	false	in	-14.0752	2	false
39	18	5	1805	0	true	true	his	-11.844	3	false
39	18	6	1806	160	false	false	place.		6	true
39	19	1	1901	0	true	true	He	-12.7513	2	true
39	19	2	1902	0	false	true	shouted	-6.5971	7	false
39	19	3	1903	140	false	false	and	-14.4566	3	false
39	19	4	1904	0	true	true	the	-15.2505	3	false
39	19	5	1905	0	false	true	calling	-8.3447	7	false
39	19	6	1906	0	false	true	ceased.		7	true
39	20	1	2001	0	false	true	He	-12.7513	2	true
39	20	2	2002	0	false	true	uses	-8.4785	4	false
39	20	3	2003	0	false	true	his	-11.844	3	false
39	20	4	2004	0	false	true	belt	-7.3595	4	false
39	20	5	2005	0	false	true	on	-13.3552	2	false
39	20	6	2006	0	false	true	you.		4	true
39	21	1	2101	0	false	true	He's		4	true
39	21	2	2102	0	false	true	broken	-8.535	6	false
39	21	3	2103	0	false	true	his	-11.844	3	false
39	21	4	2104	0	false	true	wrists	-4.9558	6	false
39	21	5	2105	476	false	false	very	-12.0881	4	false
39	21	6	2106	0	true	true	badly.		6	true
39	22	1	2201	0	false	true	I	-14.2268	1	true
39	22	2	2202	0	false	true	am	-11.4418	2	false
39	22	3	2203	0	false	true	touched	-7.4460000000000015	7	false
39	22	4	2204	0	false	true	deeply	-7.6953	6	false
39	22	5	2205	0	false	true	in	-14.0752	2	false
39	22	6	2206	248	false	false	places.		7	true
39	23	1	2301	0	true	true	I	-14.2268	1	true
39	23	2	2302	0	false	true	don't		5	true
39	23	3	2303	0	false	true	want	-11.5791	4	false
39	23	4	2304	0	false	true	to	-14.774	2	false
39	23	5	2305	0	false	true	hear	-9.8765	4	false
39	23	6	2306	0	false	true	it.		3	true
39	24	1	2401	0	false	true	I	-14.2268	1	true
39	24	2	2402	0	false	true	knew	-9.7054	4	false
39	24	3	2403	0	false	true	I	-14.2268	1	false
39	24	4	2404	0	false	true	heard	-9.7076	5	false
39	24	5	2405	0	false	true	your	-12.7412	4	false
39	24	6	2406	0	false	true	voice.		6	true
39	25	1	2501	0	false	true	I	-14.2268	1	true
39	25	2	2502	64	false	false	wouldn't		8	true
39	25	3	2503	88	true	false	want	-11.5791	4	false
39	25	4	2504	0	true	true	to	-14.774	2	false
39	25	5	2505	0	false	true	miss	-8.8915	4	false
39	25	6	2506	148	false	false	this.		5	true
39	26	1	2601	0	true	true	Jack	-8.3447	4	true
39	26	2	2602	0	false	true	walked	-8.2802	6	false
39	26	3	2603	0	false	true	up	-12.1638	2	false
39	26	4	2604	0	false	true	to	-14.774	2	false
39	26	5	2605	0	false	true	the	-15.2505	3	false
39	26	6	2606	56	false	false	door.		5	true
39	27	1	2701	0	true	true	Ross	-6.6294	4	true
39	27	2	2702	0	false	true	sat	-8.3236	3	false
39	27	3	2703	0	false	true	back	-11.4651	4	false
39	27	4	2704	260	false	false	down	-11.0167	4	false
39	27	5	2705	0	true	true	and	-14.4566	3	false
39	27	6	2706	644	false	false	shivered.		9	true
39	28	1	2801	0	true	true	She	-11.8451	3	true
39	28	2	2802	0	false	true	couldn't		8	true
39	28	3	2803	0	false	true	help	-11.2588	4	false
39	28	4	2804	0	false	true	feel	-10.8093	4	false
39	28	5	2805	0	false	true	for	-13.7057	3	false
39	28	6	2806	32	false	true	Alex.		5	true
39	29	1	2901	0	true	true	The	-15.2505	3	true
39	29	2	2902	740	false	false	bored	-7.5055	5	false
39	29	3	2903	112	true	false	looking	-10.7198	7	false
39	29	4	2904	364	true	false	soldier	-7.1593	7	false
39	29	5	2905	1088	true	false	just	-12.2691	4	false
39	29	6	2906	36	true	true	pointed.		8	true
39	30	1	3001	0	true	true	The	-15.2505	3	true
39	30	2	3002	0	false	true	campaign	-8.9119	8	false
39	30	3	3003	0	false	true	will	-12.9165	4	false
39	30	4	3004	0	false	true	pay	-10.4629	3	false
39	30	5	3005	204	false	false	for	-13.7057	3	false
39	30	6	3006	0	true	true	itself.		7	true
39	31	1	3101	0	false	true	They're		7	true
39	31	2	3102	0	false	true	riding	-7.6611	6	false
39	31	3	3103	316	false	false	out	-12.2331	3	false
39	31	4	3104	0	true	true	to	-14.774	2	false
39	31	5	3105	116	false	false	meet	-9.8404	4	false
39	31	6	3106	0	true	true	them.		5	true
39	32	1	3201	0	false	true	We	-13.2763	2	true
39	32	2	3202	0	false	true	barely	-7.5964	6	false
39	32	3	3203	284	false	false	escaped	-6.3561	7	false
39	32	4	3204	0	true	true	with	-13.2011	4	false
39	32	5	3205	140	false	false	our	-12.0983	3	false
39	32	6	3206	148	true	false	lives.		6	true
39	33	1	3301	0	true	true	We've		5	true
39	33	2	3302	0	false	true	been	-12.2027	4	false
39	33	3	3303	0	false	true	travelling	-8.0523	10	false
39	33	4	3304	0	false	true	almost	-9.8822	6	false
39	33	5	3305	400	false	false	three	-10.6126	5	false
39	33	6	3306	0	true	true	days.		5	true
39	34	1	3401	0	false	true	Alice	-6.2785	5	true
