rnntype	fit	se	x
GRU	-3.34463888722769	2.8197708	-5.975825
GRU	-3.93561321812979	2.8174498	-5.9487386
GRU	-4.542943540395415	2.821079	-5.9216523
GRU	-5.167847696126616	2.8315492	-5.894566
GRU	-5.811541381658232	2.8488271	-5.86748
GRU	-6.475241246999419	2.8719552	-5.8403935
GRU	-7.160163703740752	2.899148	-5.8133073
GRU	-7.867525640309966	2.9279664	-5.786221
GRU	-8.598543229879057	2.9555466	-5.759135
GRU	-9.354433122457182	2.9788604	-5.7320485
GRU	-10.136405620158827	2.9950087	-5.7049623
GRU	-10.945351663411772	3.002033	-5.6778765
GRU	-11.781431022466338	2.9997895	-5.65079
GRU	-12.644313875020659	2.9895163	-5.623704
GRU	-13.533251348317778	2.9735258	-5.5966177
GRU	-14.44733721333853	2.9544754	-5.5695314
GRU	-15.385662141622221	2.934819	-5.542445
GRU	-16.34731585103384	2.9165542	-5.515359
GRU	-17.331389489949856	2.9010208	-5.4882727
GRU	-18.33697182256094	2.8887613	-5.4611864
GRU	-19.363154950917874	2.8794563	-5.4341
GRU	-20.409028592885647	2.8719444	-5.407014
GRU	-21.473681989492093	2.8643284	-5.379928
GRU	-22.55620724278799	2.8541512	-5.352842
GRU	-23.65569264012686	2.8386385	-5.3257556
GRU	-24.771230283559476	2.8149898	-5.2986693
