rnntype	fit	se	x
GRU	-0.7508096796782553	5.054077	-6.8885174
GRU	-0.4814920527251303	5.41685	-6.861892
GRU	-0.18888188426809904	5.8401284	-6.8352675
GRU	0.1433706181733072	6.253494	-6.8086424
GRU	0.532553662606901	6.5868397	-6.7820177
GRU	0.9985036748139322	6.799714	-6.755393
GRU	1.5634603398529947	6.8918037	-6.728768
GRU	2.2498922246186197	6.8777647	-6.702143
GRU	3.080252637216276	6.7791753	-6.675518
GRU	4.077017773935026	6.621314	-6.6488934
GRU	5.26264857227487	6.4308352	-6.6222687
GRU	6.659605969735807	6.233485	-6.5956435
GRU	8.290373792001432	6.0514803	-6.569019
GRU	10.177397717782682	5.900603	-6.5423937
GRU	12.34315394336862	5.787614	-6.515769
GRU	14.810111035653776	5.7089157	-6.4891443
GRU	17.60072230274362	5.6511803	-6.462519
GRU	20.737463940927213	5.5939727	-6.4358945
GRU	24.24113749439401	5.514248	-6.4092693
GRU	28.107943524667448	5.39796	-6.3826447
GRU	32.30561732227487	5.244763	-6.35602
GRU	36.79160593921823	5.0648437	-6.329395
GRU	41.50891398365182	4.882472	-6.30277
GRU	46.39830302173776	4.7273645	-6.276145
GRU	51.40052889759225	4.6279736	-6.2495203
GRU	56.456343640634245	4.6046205	-6.2228956
GRU	61.50650309497995	4.6633496	-6.1962705
GRU	66.49176691944284	4.7936068	-6.169646
GRU	71.35288618976755	4.9710455	-6.1430206
GRU	76.03061889583749	5.1634455	-6.116396
GRU	80.46697305614633	5.3370237	-6.0897713
GRU	84.61235522205514	5.4630303	-6.063146
GRU	88.43391703540964	5.5230947	-6.0365214
GRU	91.9339094060151	5.5169015	-6.0098968
GRU	95.13744639331979	5.458012	-5.9832716
GRU	98.07170962268991	5.3649473	-5.956647
GRU	100.76387309009714	5.2584286	-5.930022
GRU	103.24111651355905	5.1593075	-5.903397
GRU	105.53061961109323	5.0861692	-5.8767724
GRU	107.65955828601999	5.052682	-5.8501472
GRU	109.6551122563569	5.0652647	-5.8235226
GRU	111.54445742542428	5.1218996	-5.7968974
GRU	113.35477351123971	5.212615	-5.7702727
GRU	115.11323832447214	5.321443	-5.743648
GRU	116.8470296757905	5.429109	-5.717023
GRU	118.5833234685151	5.5157175	-5.690398
GRU	120.34806345874948	5.5640383	-5.663773
GRU	122.16143702442331	5.564462	-5.6371484
GRU	124.03469370777292	5.51723	-5.6105237
GRU	125.96703242237253	5.4333353	-5.5838985
GRU	127.95119379932565	5.329987	-5.557274
GRU	129.97564600879832	5.2275887	-5.5306487
GRU	132.02839945728465	5.1453176	-5.504024
GRU	134.09746073658152	5.098116	-5.4773993
GRU	136.1708402531831	5.094137	-5.450774
GRU	138.23654078418895	5.1332064	-5.4241495
GRU	140.28257273609324	5.2069244	-5.3975244
GRU	142.29694270069285	5.3004093	-5.3708997
GRU	144.26766108448192	5.3950243	-5.344275
GRU	146.18273066456004	5.4713306	-5.31765
GRU	148.03017329151317	5.511899	-5.291025
GRU	149.79797266895457	5.5041447	-5.2644
GRU	151.47421168262645	5.443871	-5.2377753
GRU	153.050520886728	5.343418	-5.2111506
GRU	154.53339289600535	5.240627	-5.1845255
GRU	155.93771265918895	5.1782556	-5.157901
GRU	157.27884577686473	5.183486	-5.1312757
GRU	158.57211970264598	5.2589755	-5.104651
GRU	159.83290003711863	5.3816266	-5.0780263
GRU	161.07652949268504	5.50911	-5.051401
GRU	162.31835841114207	5.5898423	-5.0247765
GRU	163.57372950489207	5.572167	-4.9981513
GRU	164.85799311573192	5.4121723	-4.9715266
GRU	166.18649958545848	5.0836797	-4.944902
GRU	167.57454585010692	4.599831	-4.918277
GRU	169.0313024419038	4.0832067	-4.891652
GRU	170.548079480478	3.8524792	-4.865027
GRU	172.10848139698192	4.251405	-4.8384023
GRU	173.69470118457957	5.292048	-4.8117776
GRU	175.29038142139598	6.7267413	-4.7851524
LSTM	-3.921675473706358	6.801352	-7.5425653
LSTM	-3.6518237891360457	5.858584	-7.5149918
LSTM	-3.382788449780577	5.1216927	-7.487418
LSTM	-3.115401059643858	4.644459	-7.459844
LSTM	-2.851385861889952	4.42283	-7.4322705
LSTM	-2.593512326733702	4.3861876	-7.404697
LSTM	-2.344763547436827	4.4378047	-7.3771234
LSTM	-2.1079089942141707	4.5055757	-7.3495493
LSTM	-1.8855808081790144	4.552645	-7.3219757
LSTM	-1.6804035010501082	4.5626736	-7.294402
LSTM	-1.4950092139407332	4.5307164	-7.266828
LSTM	-1.3320148291751082	4.457319	-7.2392545
LSTM	-1.1940448584719832	4.345273	-7.211681
LSTM	-1.0825717749758894	4.2017636	-7.1841073
LSTM	-0.9962299170657332	4.039919	-7.1565332
LSTM	-0.9332111182376082	3.8678138	-7.1289597
LSTM	-0.8903262915774519	3.6920736	-7.101386
LSTM	-0.8585803809329207	3.5309715	-7.0738125
LSTM	-0.8263309302493269	3.4117897	-7.0462384
LSTM	-0.7774951758547957	3.3712938	-7.018665
LSTM	-0.6926715674563582	3.4362962	-6.9910913
LSTM	-0.5513599219485457	3.6011422	-6.9635177
LSTM	-0.3328464331790144	3.8237627	-6.9359436
LSTM	-0.01845434333526441	4.047555	-6.90837
LSTM	0.40803644035614184	4.224259	-6.8807964
LSTM	0.9583904442623918	4.3310504	-6.853223
LSTM	1.6400844750241106	4.373109	-6.825649
LSTM	2.4603664574459856	4.365357	-6.798075
LSTM	3.4264919457272356	4.3269777	-6.7705016
LSTM	4.545716494067079	4.278055	-6.742928
LSTM	5.825295656664736	4.2365494	-6.715354
LSTM	7.272484987719423	4.215398	-6.6877804
LSTM	8.89453241203583	4.220182	-6.660207
LSTM	10.698693483813173	4.2481003	-6.632633
LSTM	12.692223757250673	4.2886953	-6.605059
LSTM	14.882111757738954	4.326291	-6.5774856
LSTM	17.27145883415497	4.345518	-6.549912
LSTM	19.855523317797548	4.3373494	-6.522338
LSTM	22.62631723259247	4.2976675	-6.4947643
LSTM	25.572995394213564	4.2307696	-6.4671907
LSTM	28.682698458178407	4.1489034	-6.439617
LSTM	31.942509859545595	4.06698	-6.412043
LSTM	35.33951303337372	4.0001297	-6.3844695
LSTM	38.860791414721376	3.9612095	-6.356896
LSTM	42.49343225334442	3.9583528	-6.3293223
LSTM	46.224518984301454	3.993193	-6.3017483
LSTM	50.0411369499997	4.060399	-6.2741747
LSTM	53.93036767814911	4.1486855	-6.246601
LSTM	57.87929651115692	4.2428184	-6.2190275
LSTM	61.875012606127626	4.326044	-6.1914535
LSTM	65.90463849876679	4.3834705	-6.16388
LSTM	69.95541116569794	4.404289	-6.1363063
LSTM	74.01501056526459	4.386252	-6.1087327
LSTM	78.07169350956238	4.336806	-6.0811586
LSTM	82.11384960983551	4.2675185	-6.053585
LSTM	86.12986871574677	4.191493	-6.0260115
LSTM	90.10814020012177	4.122002	-5.998438
LSTM	94.03705331657684	4.070978	-5.970864
LSTM	97.9049999413327	4.04741	-5.94329
LSTM	101.70036622856415	4.0559316	-5.9157166
LSTM	105.41154596184052	4.09603	-5.888143
LSTM	109.02692720268524	4.162166	-5.860569
LSTM	112.53489801262177	4.2447567	-5.8329954
LSTM	115.92385217521942	4.3316693	-5.805422
LSTM	119.18217202995575	4.4098206	-5.777848
LSTM	122.29873773430145	4.4670553	-5.750274
LSTM	125.26453897331513	4.494737	-5.7227006
LSTM	128.0739795861081	4.4892793	-5.695127
LSTM	130.7269870934323	4.453661	-5.667553
LSTM	133.22779199455536	4.3958583	-5.6399794
LSTM	135.5833217797116	4.3267922	-5.612406
LSTM	137.8024494347409	4.258809	-5.584832
